ufs_serial,run_wf_xy,prob,health
S00635,0000006_17_30_21,0.4905884372104138,0.0
S00636,0000002_6_52_17,0.5090972770784148,0.0
S00637,0000002_8_48_20,0.5299254577559019,0.0
S00638,0000023_15_50_28,0.45249271941277974,0.0
S00639,0000023_7_19_16,0.5017430681512798,0.0
S00640,0000023_7_53_19,0.5236130110800854,0.0
S00642,0000000_18_49_16,0.4416604965857971,0.0
S00643,0000000_19_63_21,0.3664339552434945,0.0
S00644,0000000_18_15_22,0.4443220248504019,0.0
S00645,0000000_18_50_15,0.4381175143194502,0.0
S00646,0000000_18_41_15,0.39635927083556516,0.0
S00647,0000000_24_28_24,0.4565975506805022,0.0
S00648,0000000_23_34_26,0.24632335923035106,0.0
S00651,0000000_1_19_18,0.3225740120707856,0.0
S00654,0000000_11_33_13,0.3588702815515627,0.0
S00656,0000000_13_27_30,0.4649579840697532,0.0
S00657,0000000_8_41_29,0.4286303086475004,0.0
S00658,0000000_10_54_23,0.3195190550387015,0.0
S00660,0000027_21_23_27,0.5146264729502639,0.0
S00661,0000015_1_32_29,0.4349573532669146,0.0
S00662,0000027_25_37_22,0.4789169962012398,0.0
S00664,0000027_23_34_13,0.43877030987069915,0.0
S00666,0000027_4_56_23,0.4636395929132812,0.0
S00667,0000027_8_46_30,0.4487149319009865,0.0
S00668,0000027_5_34_31,0.4562752658358945,0.0
S00670,0000027_10_43_22,0.45153738777308394,0.0
S00671,0000027_5_34_16,0.42935753210460015,0.0
S00673,0000027_14_18_25,0.47164815938197013,0.0
S00676,0000025_8_43_23,0.37663989982325147,0.0
S00677,0000025_8_49_17,0.4078822131333468,0.0
S00679,0000016_18_52_25,0.5484857215229612,0.0
S00683,0000016_24_17_17,0.5177428114334911,0.0
S00685,0000024_24_37_32,0.5259640120912782,0.0
S00686,0000022_9_33_21,0.4236024711528324,0.0
S00687,0000022_7_44_16,0.5270207061401858,0.0
S00689,0000020_1_45_26,0.49823596717529023,0.0
S00690,0000020_16_39_19,0.49497709976887844,0.0
S00691,0000020_16_34_26,0.549049051283352,0.0
S00692,0000020_19_31_19,0.47313011079195855,0.0
S00693,0000020_24_61_18,0.5295961894020007,0.0
S00698,0000007_15_42_15,0.558120293151075,0.0
S00700,0000007_10_51_16,0.5858501151919017,0.0
S00702,0000022_17_55_27,0.3838613331170928,0.0
S00703,0000026_1_34_23,0.325494223353289,0.0
S00705,0000022_21_39_30,0.32733091188965857,0.0
S00706,0000022_20_20_24,0.27483488581162135,0.0
S00707,0000022_20_44_28,0.291699960615013,0.0
S00708,0000022_19_36_20,0.3452651561517231,0.0
S00711,0000022_23_62_23,0.3586862401284964,0.0
S00713,0000026_1_23_14,0.3815840605659227,0.0
S00717,0000025_1_22_22,0.41792550598281936,0.0
S00718,0000020_4_61_23,0.46623621443347946,0.0
S00719,0000018_19_62_25,0.545128454064757,0.0
S00720,0000019_5_44_12,0.4146152090763792,0.0
S00722,0000020_4_62_17,0.43211250561309766,0.0
S00726,0000020_2_27_19,0.49005564072429886,0.0
S00727,0000027_25_32_30,0.46508839356157483,0.0
S00728,0000027_24_44_30,0.5248324931079823,0.0
S00729,0000027_19_63_22,0.4714960013174974,0.0
S00731,0000027_15_59_25,0.4847015099189385,0.0
S00732,0000027_19_32_20,0.5229639269141471,0.0
S00733,0000027_20_51_21,0.49095578016225344,0.0
S00735,0000015_10_56_27,0.43061809442034293,0.0
S00736,0000015_1_37_28,0.42497122155151296,0.0
S00737,0000015_10_44_31,0.40201514977433356,0.0
S00738,0000015_6_60_26,0.3917708387187237,0.0
S00740,0000015_3_43_17,0.30550276961990985,0.0
S00741,0000015_7_59_18,0.42237742234167835,0.0
S00742,0000015_10_33_14,0.3949423429786583,0.0
S00747,0000015_4_27_25,0.36981733317338233,0.0
S00748,0000022_10_52_22,0.39524545682559725,0.0
S00752,0000022_14_45_13,0.3778638082856331,0.0
S00754,0000022_12_26_20,0.40591379704078856,0.0
S00755,0000027_5_59_16,0.4270914550254869,0.0
S00757,0000025_14_40_19,0.3704679424996986,0.0
S00758,0000025_11_45_31,0.38086406774395754,0.0
S00761,0000025_14_62_23,0.3846408066206013,0.0
S00763,0000021_22_57_22,0.4647852474564129,0.0
S00769,0000021_17_52_30,0.47220744159076583,0.0
S00771,0000021_14_25_19,0.41232977663158066,0.0
S00772,0000016_9_52_21,0.5500489989626763,0.0
S00773,0000021_6_13_22,0.41368394204067666,0.0
S00774,0000016_3_62_23,0.5176255572309943,0.0
S00777,0000012_17_39_13,0.48234155027325715,0.0
S00778,0000011_23_53_23,0.4840410765564436,0.0
S00781,0000009_24_45_26,0.4334735779703718,0.0
S00782,0000009_14_35_20,0.4639391338785668,0.0
S00784,0000009_2_42_27,0.5338772053878884,0.0
S00786,0000001_21_42_31,0.49626953466019286,0.0
S00787,0000009_2_42_25,0.5063340239240481,0.0
S00788,0000008_22_19_26,0.4961279177455969,0.0
S00789,0000001_15_15_21,0.48761205601688884,0.0
S00791,0000002_18_51_19,0.537735941092552,0.0
S00792,0000002_21_56_28,0.49898852522205756,0.0
S00793,0000002_21_32_14,0.4902445795869374,0.0
S00794,0000002_15_61_20,0.49684807650992907,0.0
S00795,0000002_2_48_19,0.5172198423067265,0.0
S00797,0000023_22_51_26,0.4842785738584007,0.0
S00798,0000021_22_15_17,0.38656674001407904,0.0
S00800,0000023_7_20_16,0.5125531141777573,0.0
S00801,0000023_18_17_26,0.4342788511481313,0.0
S00803,0000023_22_23_18,0.43852058904036445,0.0
S00805,0000023_21_57_28,0.44033797160001525,0.0
S00809,0000007_19_19_25,0.5447809464333913,0.0
S00815,0000008_4_46_14,0.497442767991673,0.0
S00816,0000007_4_38_12,0.5129624473458531,0.0
S00817,0000008_2_44_14,0.5124891405851111,0.0
