ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00639,1,train,0.0,0.4460299544351219,
S00640,1,train,0.0,0.46402577093825226,
S00642,1,train,0.0,0.17622024608332346,
S00643,1,train,0.0,0.11840477564510643,
S00644,1,train,0.0,0.16859658953104625,
S00645,1,train,0.0,0.16922843673891985,
S00646,1,train,0.0,0.1571987105881498,
S00647,1,train,0.0,0.1572775188192761,
S00648,1,train,0.0,0.0958352105042468,
S00651,1,train,0.0,0.1602843069697566,
S00654,1,train,0.0,0.15325318597961993,
S00656,1,train,0.0,0.19153418118825485,
S00657,1,train,0.0,0.13976342548297177,
S00658,1,train,0.0,0.1072655916040798,
S00660,1,train,0.0,0.35051173813406367,
S00661,1,train,0.0,0.22036355391469764,
S00662,1,train,0.0,0.3663034024765193,
S00664,1,train,0.0,0.24264644686638073,
S00666,1,train,0.0,0.2640604344346266,
S00667,1,train,0.0,0.2746319377616766,
S00668,1,train,0.0,0.24226299108994334,
S00670,1,train,0.0,0.2524664954931268,
S00671,1,train,0.0,0.22071198211084472,
S00673,1,train,0.0,0.2759641645018107,
S00676,1,train,0.0,0.19839100769373472,
S00677,1,train,0.0,0.2731692775420134,
S00679,1,train,0.0,0.44240018605943826,
S00683,1,train,0.0,0.5278003603242581,
S00685,1,train,0.0,0.4699340267436684,
S00686,1,train,0.0,0.3463167412135973,
S00687,1,train,0.0,0.39285780493159256,
S00689,1,train,0.0,0.43260922389244244,
S00690,1,train,0.0,0.3423727596615423,
S00691,1,train,0.0,0.26683658249395337,
S00692,1,train,0.0,0.41265391621006914,
S00693,1,train,0.0,0.38775772792730884,
S00698,1,train,0.0,0.478590455571218,
S00700,1,train,0.0,0.46709721094906875,
S00702,1,train,0.0,0.16356279924713818,
S00703,1,train,0.0,0.16957706138471382,
S00705,1,train,0.0,0.1772395956667395,
S00706,1,train,0.0,0.13109585743820862,
S00707,1,train,0.0,0.15891408841845434,
S00708,1,train,0.0,0.2543232659592954,
S00711,1,train,0.0,0.1464821385975127,
S00713,1,train,0.0,0.1693177414469936,
S00717,1,train,0.0,0.352032892514402,
S00718,1,train,0.0,0.3485924961586866,
S00719,1,train,0.0,0.48897153199310267,
S00720,1,train,0.0,0.28053657594689935,
S00722,1,train,0.0,0.32878524933597225,
S00726,1,train,0.0,0.48226447208122236,
S00727,1,train,0.0,0.28643580000966345,
S00728,1,train,0.0,0.43312629461442786,
S00729,1,train,0.0,0.34969374968149064,
S00731,1,train,0.0,0.3872753623372864,
S00732,1,train,0.0,0.448324763565976,
S00733,1,train,0.0,0.39261710878120454,
S00735,1,train,0.0,0.2030801375118839,
S00736,1,train,0.0,0.21331666241419592,
S00737,1,train,0.0,0.21653887883283682,
S00738,1,train,0.0,0.2098440538850381,
S00740,1,train,0.0,0.14434065419426434,
S00741,1,train,0.0,0.21778739449388773,
S00742,1,train,0.0,0.1808876300625222,
S00747,1,train,0.0,0.12757698839190154,
S00748,1,train,0.0,0.3447789998803992,
S00752,1,train,0.0,0.2777544929781719,
S00754,1,train,0.0,0.35306385601715107,
S00755,1,train,0.0,0.17197290876150637,
S00757,1,train,0.0,0.19205976175634099,
S00758,1,train,0.0,0.22213878459713543,
S00761,1,train,0.0,0.1513168094378132,
S00763,1,train,0.0,0.44191370456374274,
S00769,1,train,0.0,0.30402525546709014,
S00771,1,train,0.0,0.31659499586398165,
S00772,1,train,0.0,0.4964490282238769,
S00773,1,train,0.0,0.2722570958079418,
S00774,1,train,0.0,0.4098302636733178,
S00777,1,train,0.0,0.35131333849998886,
S00778,1,train,0.0,0.34768583455539415,
S00781,1,train,0.0,0.2616512196643848,
S00782,1,train,0.0,0.26595597293640877,
S00784,1,train,0.0,0.44623669307104724,
S00786,1,train,0.0,0.4607806378530504,
S00787,1,train,0.0,0.4413506815906431,
S00788,1,train,0.0,0.4654749260602675,
S00789,1,train,0.0,0.4288192409699712,
S00791,1,train,0.0,0.4646622532827138,
S00792,1,train,0.0,0.42165501600987193,
S00793,1,train,0.0,0.3963764546894466,
S00794,1,train,0.0,0.3921935760376439,
S00795,1,train,0.0,0.44826914542636004,
S00797,1,train,0.0,0.411001095173856,
S00798,1,train,0.0,0.2877147122634233,
S00800,1,train,0.0,0.41853953797372556,
S00801,1,train,0.0,0.4261785806545129,
S00803,1,train,0.0,0.362325501540991,
S00805,1,train,0.0,0.2999623411526571,
S00809,1,train,0.0,0.4644543314132627,
S00815,1,train,0.0,0.4282093748127969,
S00816,1,train,0.0,0.3681240959749597,
S00817,1,train,0.0,0.4275595138860933,
S00818,1,train,0.0,0.44748153711756294,
S00819,1,train,0.0,0.3861694434244011,
S00820,1,train,0.0,0.38563292510873454,
S00822,1,train,0.0,0.4246801842189116,
S00824,1,train,0.0,0.4125425898661444,
S00826,1,train,0.0,0.42389442948839084,
S00827,1,train,0.0,0.384917541937653,
S00828,1,train,0.0,0.44517839144357413,
S00829,1,train,0.0,0.4653705473107179,
S00833,1,train,0.0,0.20698061079292454,
S00834,1,train,0.0,0.09786560774088941,
S00835,1,train,0.0,0.12052990372615911,
S00836,1,train,0.0,0.15762093812479047,
S00837,1,train,0.0,0.23055505067501234,
S00839,1,train,0.0,0.15627968174473314,
S00842,1,train,0.0,0.14802785847949626,
S00843,1,train,0.0,0.31387569759958417,
S00844,1,train,0.0,0.14542261870924622,
S00847,1,train,0.0,0.20198173401354444,
S00853,1,train,0.0,0.21787290755264496,
