ufs_serial,position,split,health,clf_proba
S15441,1,train,0.0,0.4541809271917454
S15501,1,train,0.0,0.6511089386700408
S15537,1,train,0.0,0.7065265088063726
S15551,1,train,0.0032990813021082,0.679514001090161
S15590,1,train,0.0065760312262247,0.04827203797452348
S15618,1,train,0.0066681425130981,0.43437966020002333
S15632,1,train,0.0066297826645189,0.722266821128731
S15686,1,train,0.0082854046845044,0.5005738468628209
S15697,1,train,0.0016836556670088,0.19066782358790402
S15790,1,train,0.0,0.5983649693200214
S15819,1,train,0.0075912921616471,0.3642189826230144
S15844,1,train,0.0056150578452639,0.8493425518588521
S15846,1,train,0.0018352147053501,0.6595675738161302
S15848,1,train,0.0260546556127225,0.9566573788064372
S15857,1,train,0.009241697348358,0.4193369864618625
S15875,1,train,0.0075165511582975,0.6215013267779127
S15882,1,train,0.0,0.7835178059480727
S15891,1,train,0.0,0.33131373738386416
S15922,1,train,0.0037285859506581,0.640256175147365
S15923,1,train,0.0,0.4012930935874322
S15932,1,train,0.001875011789561,0.7989429379746197
S16007,1,train,0.0018546298576748,0.20191287877392872
S16013,1,train,0.0056115075422274,0.17335982169031403
S16026,1,train,0.0037792377650028,0.3222749696580506
S16059,1,train,0.0073293294843293,0.3465932296157996
S16100,1,train,0.0,0.14156834058558795
S16122,1,train,0.0037227209569714,0.5008208566227335
S16209,1,train,0.0,0.738490140156497
S16259,1,train,0.0,0.16171804449094576
S16299,1,train,0.0,0.5864050871354533
S16302,1,train,0.0037645953817428,0.21165059271718
S16354,1,train,0.0,0.529719096008674
S16383,1,train,0.0,0.1163132488739587
S16408,1,train,0.0,0.45563557241338276
S16416,1,train,0.0,0.20711732584510228
S16532,1,train,0.0,0.3900605659470132
S16603,1,train,0.0,0.12971061611625978
S16616,1,train,0.0,0.4002294033102246
S16643,1,train,0.0,0.4889196909188308
S16678,1,train,0.0,0.3763249942964489
S16710,1,train,0.0,0.24225893632279918
S16734,1,train,0.0,0.17130372515133033
S16760,1,train,0.0,0.10021973100497578
S16802,1,train,0.0,0.6512685185247784
S16817,1,train,0.0,0.19114970894736244
S16932,1,train,0.0,0.19006195981827867
S16941,1,train,0.0,0.41067703057620814
S16970,1,train,0.0079316948611554,0.298750022497832
S16977,1,train,0.0052780255724055,0.734821745925666
S16995,1,train,0.0,0.181803775431774
S17067,1,train,0.0026460942158616,0.5190869098529552
S17084,1,train,0.0,0.173199433062737
S17098,1,train,0.0031298608880744,0.15684956340960124
S17150,1,train,0.0061881727458927,0.5387772328619145
S17178,1,train,0.0,0.12781596719634278
S17239,1,train,0.0,0.4062478992417765
S17289,1,train,0.0,0.09526486057175067
S17354,1,train,0.0291619909198831,0.696174796590512
S17420,1,train,0.0044054927465758,0.5922757408321385
S17482,1,train,0.0255391974512189,0.639445752394697
S17489,1,train,0.0089536713498965,0.74277787347506
S17630,1,train,0.0,0.3587260600897781
S17643,1,train,0.0518536776855731,0.37158784788254456
S17646,1,train,0.0280591745596817,0.058057709229851186
S17709,1,train,0.0030883069366977,0.7427097263669826
S17753,1,train,0.0,0.3232130194065559
S17820,1,train,0.0121884478864149,0.8276295543110906
S17821,1,train,0.0397511622997305,0.24011842444427725
S17856,1,train,0.0330292092075112,0.3391017491492536
S17858,1,train,0.0420682869023308,0.5256289458701613
S17862,1,train,0.0297750700269837,0.46962520000720337
S17871,1,train,0.0111850278162864,0.7116914753499924
S17902,1,train,0.0,0.4558094407153656
S17960,1,train,0.0039318064949962,0.6675298577074265
S17996,1,train,0.0,0.3779221182348724
S18019,1,train,0.0,0.6812362021059564
S18029,1,train,0.0,0.8024628180590289
S18048,1,train,0.0,0.5259893382417306
S18049,1,train,0.0,0.21537179881770502
S18081,1,train,0.0,0.8444050238815772
S18122,1,train,0.0,0.7040844297881592
S18134,1,train,0.0,0.5034470951437107
S18146,1,train,0.0,0.5952112558968501
S18180,1,train,0.0,0.10628726754986402
S18227,1,train,0.0,0.14063378207218882
S18230,1,train,0.0,0.15848901045993938
S18239,1,train,0.0,0.40002500476679764
S18249,1,train,0.0,0.12634134112524215
S18271,1,train,0.0,0.11960346447983786
S18352,1,train,0.0,0.6578332431662122
S18361,1,train,0.0,0.37947802287347765
S18383,1,train,0.0,0.7370774612688806
