ufs_serial,position,split,health,clf_proba_mean,lds_weight
S12964,1,train,0.0,0.45898233023257146,1.0
S12966,1,train,0.0,0.37969515134408915,1.0
S12973,1,train,0.0,0.23556355582022837,1.0
S12985,1,train,0.0,0.39469457267694547,1.0
S12987,1,train,0.0,0.40533942816538754,1.0
S12992,1,train,0.0,0.4374912285912867,1.0
S12993,1,train,0.0,0.3075041053985685,1.0
S13033,1,train,0.0,0.35130834706114505,1.0
S13039,1,train,0.0,0.2897991090771595,1.0
S13040,1,train,0.0,0.102994527411239,1.0
S13055,1,train,0.0,0.35054152607584904,1.0
S13126,1,train,0.0,0.2148011058824015,1.0
S13154,1,train,0.0,0.36054858263300593,1.0
S13218,1,train,0.0,0.5032334679238167,1.0
S13227,1,train,0.0,0.4835460550768634,1.0
S13231,1,train,0.0,0.38357692582627384,1.0
S13233,1,train,0.0,0.39625655995333525,1.0
S13239,1,train,0.0,0.4529010982928234,1.0
S13244,1,train,0.0,0.35462168583422815,1.0
S13271,1,train,0.0,0.3225644496888942,1.0
S13280,1,train,0.0,0.37554153623180575,1.0
S13281,1,train,0.0,0.16857011912768483,1.0
S13299,1,train,0.0,0.3553776740056591,1.0
S13326,1,train,0.0,0.2882941179623149,1.0
S13334,1,train,0.0,0.21157313309781123,1.0
S13393,1,train,0.0,0.17151904768663104,1.0
S13409,1,train,0.0,0.349961986305267,1.0
S13413,1,train,0.0,0.2106083839265438,1.0
S13417,1,train,0.0,0.3212969566789234,1.0
S13445,1,train,0.0,0.286568948562582,1.0
S13447,1,train,0.0,0.31826143484757624,1.0
S13470,1,train,0.0018501973047427,0.3801207685990853,0.776882206981653
S13516,1,train,0.0064117449751012,0.433636483530218,0.7004858190673174
S13532,1,train,0.0065312065517069,0.30082414921184825,0.7001478533886419
S13556,1,train,0.0,0.30830178945821324,1.0
S13568,1,train,0.0013221495971035,0.5281704400894146,0.7949066380997275
S13607,1,train,0.0064782372937913,0.28647518088129353,0.7002880723044335
S13677,1,train,0.009332071532112,0.33536542312249323,0.7143535357167003
S13707,1,train,0.0013453521736776,0.27816996153698986,0.7940672565293856
S13723,1,train,0.0051432903087267,0.48359090078667294,0.7089657718009408
S13752,1,train,0.0064405602380285,0.37482642681641404,0.7003971505938631
S13770,1,train,0.0128920466188856,0.3203352706970955,0.7967324020156703
S13797,1,train,0.007736371843965,0.4312233600167235,0.7010683655575848
S13803,1,train,0.0120482901286443,0.3788454290549919,0.7700818888384778
S13805,1,train,0.0104932015877037,0.26612849717162407,0.7328598951940175
S13856,1,train,0.0,0.23902633482409533,1.0
S13878,1,train,0.0065902882753865,0.3773775290337349,0.7000095352990496
S13880,1,train,0.0025878542678767,0.47138720173287685,0.7552977656353933
S13896,1,train,0.0121121039805036,0.5212164878076114,0.7719320185552724
S13924,1,train,0.003759768210668,0.4453884090551568,0.7288897992600558
S13926,1,train,0.0037898284664157,0.33795139567810223,0.7283317521184101
S13996,1,train,0.0074700334423026,0.28914489011231326,0.7001902845845285
S14013,1,train,0.0056096707563461,0.33993838686030936,0.7047959155260605
S14016,1,train,0.0018746298831845,0.46842723405812087,0.7761016546019871
