feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X583,0.0,0.004817704430999037,0.00025208249476022003,False,False,False
X584,0.0,0.0024460630542769883,0.0,False,False,True
X585,0.0,0.0005903717292697969,0.0,False,False,True
X586,0.0,0.0004164690579279947,0.0,False,True,True
X587,0.0,0.0006235546880014679,0.0,False,False,True
X588,0.0,0.0009529372864107097,0.0,False,False,True
X589,0.0,0.0004908847817141737,0.0,False,True,True
X590,0.0,0.0006849036811566933,0.0,False,False,True
X592,0.0,0.0011587459197860074,8.951539798566348e-05,False,False,False
X594,0.0,0.002323235370681396,0.00010733839837297767,False,False,False
X595,0.0,0.02206113062707729,0.0005255644156346627,False,False,False
X601,0.0,0.0010821313830611523,0.0,False,False,True
X606,0.0,0.00238897021978653,0.0001011341517106073,False,False,False
X608,0.0,0.000879717329774258,4.150909935747603e-05,False,False,False
X611,0.0,3.0229594978735603e-05,2.7231601485342226e-05,False,True,False
X613,0.0,0.0011863589823107076,0.0,False,False,True
X630,0.0,0.0012663521948732114,0.0,False,False,True
X632,0.0,0.001207881421097934,0.0,False,False,True
X636,0.0,0.008012902980081671,0.0,False,False,True
X637,0.0,0.002129013857007511,3.4983067922432334e-05,False,False,False
X639,0.0,0.002238547148025382,0.0,False,False,True
X640,0.0,0.0009253141789850383,0.0,False,False,True
X641,0.0,0.001768162296097261,0.0,False,False,True
X642,0.0,0.0014537102715394933,0.0,False,False,True
X643,0.0,0.0025653194425560755,2.0503831189328255e-05,False,False,False
X644,0.0,0.001234169098057832,0.0,False,False,True
X645,0.0,0.0029759408579490736,0.00015619008843553765,False,False,False
X646,0.0,0.0018785087198399742,0.0,False,False,True
X647,0.0,0.00030639012881283163,0.0002319885487214501,False,True,False
X649,0.0,0.006446734442076712,0.00033602292686400395,False,False,False
X650,0.0,0.001792173862242401,0.0,False,False,True
X651,0.0,0.0013351535874004277,1.0006762116093135e-05,False,False,False
X652,0.0,0.0022941098737737863,2.385455944757039e-05,False,False,False
X654,0.0,0.0008751418203438944,0.0,False,False,True
X655,0.0,0.0012962087848305945,0.0005275124609102676,False,False,False
X660,0.0,0.0014647976200040263,1.622016645366497e-05,False,False,False
X661,0.0,0.0008531173776480877,0.0,False,False,True
X664,0.0,0.0006921969891362054,0.0,False,False,True
X665,0.0,0.0013100818229722104,0.0,False,False,True
X667,0.0,0.0008885911419021003,0.0,False,False,True
X668,0.0,0.0007679538802088854,0.0,False,False,True
X669,0.0,0.0008216603051013711,6.667443606268986e-05,False,False,False
X670,0.0,0.0009611263377879836,0.0,False,False,True
X678,0.0,0.0016419983715531415,4.1305247513225165e-05,False,False,False
X689,0.0,0.000939080862729721,0.00012256597278700006,False,False,False
X690,0.0,0.0011786430732664533,1.8624540349450758e-05,False,False,False
X713,0.0,0.0006459211900006055,0.0,False,False,True
X718,0.0,0.002643258884265657,0.00019981361845120647,False,False,False
X719,0.0,0.0016160055008584589,0.0,False,False,True
X720,0.0,0.0011243395825773492,0.0,False,False,True
X721,0.0,0.0010056673182825813,7.626516255139434e-05,False,False,False
X722,0.0,0.002251423646372219,0.0,False,False,True
X723,0.0,0.002180536810596023,9.911573009602959e-05,False,False,False
X724,0.0,0.0022064264387008006,1.0928044460576606e-05,False,False,False
X726,0.0,0.0018096797481670108,0.0,False,False,True
X727,0.0,0.008230245050088604,8.004996478524343e-05,False,False,False
X730,0.0,0.001030183036374491,1.4288199688120486e-06,False,False,False
X731,0.0,0.0005601848023019302,0.0,False,False,True
