ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00185,0000021_24_54_16,1,0.1260480117247586,0.8739519882752413,0.0009931762424079192,0.000867988351760134,0.000867988351760134,0.0
S00186,0000021_25_55_25,1,0.23951325390528266,0.7604867460947173,0.0008955063757518753,0.000681020729802617,0.000681020729802617,0.0
S00187,0000021_11_35_14,1,0.23029566051073525,0.7697043394892648,0.0009472204612870504,0.0007290796995056657,0.0007290796995056657,0.0023849627379564
S00188,0000021_24_34_12,1,0.22740459285821507,0.7725954071417849,0.0014026582513636256,0.0010836873227930645,0.0010836873227930645,0.0
S00189,0000021_11_40_25,1,0.2761940818175469,0.7238059181824531,0.0008714193132837027,0.0006307384561732332,0.0006307384561732332,0.0
S00191,0000021_9_31_21,1,0.34499090635312407,0.655009093646876,0.0010152423292926905,0.0006649929579419484,0.0006649929579419484,0.0
S00192,0000021_8_42_14,1,0.35965484965016664,0.6403451503498334,0.0008856094680616066,0.0005670957279771455,0.0005670957279771455,0.0
S00193,0000021_9_17_24,1,0.31464235670371016,0.6853576432962898,0.0008897105409277819,0.0006097699195461318,0.0006097699195461318,0.0
S00194,0000021_8_47_20,1,0.38938849773245987,0.6106115022675401,0.00085851000149903,0.0005242160817270308,0.0005242160817270308,0.0023942345675443
S00199,0000008_6_28_27,1,0.17724890115347897,0.822751098846521,0.0008574771367434697,0.0007054902564914582,0.0007054902564914582,0.0
S00201,0000008_6_35_28,1,0.22716369028458114,0.7728363097154188,0.0008539338627340789,0.0006599510952164386,0.0006599510952164386,0.0
S00202,0000008_6_40_24,1,0.16791285975664702,0.832087140243353,0.0008143599261656325,0.0006776184220919492,0.0006776184220919492,0.0
S00205,0000008_24_19_24,1,0.15169618248200537,0.8483038175179947,0.0008194352549011904,0.0006951300549415108,0.0006951300549415108,0.0024191978193146
S00206,0000016_3_14_20,1,0.2555212897047259,0.7444787102952741,0.0008424249571653091,0.0006271674456309809,0.0006271674456309809,0.0
S00207,0000016_3_47_21,1,0.16301993162649592,0.836980068373504,0.0008216118152373288,0.0006876727132938182,0.0006876727132938182,0.0024246859373094
S00208,0000008_12_60_17,1,0.17210260913611666,0.8278973908638834,0.0009133840970218152,0.000756188310780925,0.000756188310780925,0.0
S00210,0000008_12_51_18,1,0.20355475926759425,0.7964452407324057,0.0008705730813304578,0.0006933637873353887,0.0006933637873353887,0.0
S00211,0000016_15_26_16,1,0.12492902873940213,0.8750709712605979,0.0009366026006978943,0.0008195937474779083,0.0008195937474779083,0.0024002356770644
S00214,0000002_16_54_27,1,0.5036582434063214,0.49634175659367863,0.0007934693251852575,0.0003938319586656515,0.0003938319586656515,0.0
S00216,0000002_14_39_30,1,0.24677409138814138,0.7532259086118587,0.0008121892203011798,0.0006117619634261132,0.0006117619634261132,0.0
S00217,0000002_22_35_18,1,0.3049712439448554,0.6950287560551446,0.0008461331880171983,0.000588086897124567,0.000588086897124567,0.0
S00218,0000004_22_56_15,1,0.17153611554688375,0.8284638844531163,0.0008626347234902201,0.0007146617138868476,0.0007146617138868476,0.0
S00220,0000004_10_33_26,1,0.15258074991953507,0.8474192500804649,0.0009382274336630679,0.0007950719882396762,0.0007950719882396762,0.0048111362800333
S00221,0000006_23_50_17,1,0.11392165483356598,0.886078345166434,0.000919801955298657,0.0008150165944318843,0.0008150165944318843,0.0024405814181889
S00223,0000004_4_32_29,1,0.17083794510543407,0.829162054894566,0.0009053843633483831,0.0007507103591833537,0.0007507103591833537,0.0
S00226,0000004_4_37_16,1,0.12417036987950908,0.8758296301204909,0.0008630492634238747,0.0007558841171602942,0.0007558841171602942,0.0
S00227,0000009_6_47_25,1,0.553928044383794,0.44607195561620605,0.000934567415322154,0.0004168843146079363,0.0004168843146079363,0.0
S00229,0000003_10_41_20,1,0.1692359345244172,0.8307640654755828,0.0008921982161477547,0.0007412062172569714,0.0007412062172569714,0.0
S00233,0000011_23_16_18,1,0.5737339928108833,0.42626600718911667,0.000889608997698526,0.00037921007540846273,0.00037921007540846273,0.0
S00237,0000011_19_38_25,1,0.3016495769163445,0.6983504230836555,0.0008215505615905113,0.0005737301822713483,0.0005737301822713483,0.0
S00238,0000016_25_37_23,1,0.601267010595733,0.39873298940426705,0.0008438144363056973,0.0003364566526906472,0.0003364566526906472,0.0
S00245,0000009_7_47_29,1,0.5223910946227506,0.4776089053772494,0.0008256728914709509,0.00039434872589510936,0.00039434872589510936,0.0
S00247,0000008_22_40_17,1,0.20268196414588385,0.7973180358541161,0.0009457353026605393,0.0007540518139551992,0.0007540518139551992,0.0
S00248,0000009_2_61_20,1,0.2588420193497321,0.741157980650268,0.0012106945699304013,0.0008973159426338608,0.0008973159426338608,0.0048394556829523
