ufs_serial,run_wf_xy,prob,health
S00456,0000018_25_36_22,0.10248312732767265,0.0
S00457,0000020_19_59_19,0.27185654486874994,0.0047714366632584
S00461,0000027_23_43_27,0.5770854010252695,0.0
S00462,0000015_10_27_26,0.011828575004972825,0.0
S00463,0000027_23_50_14,0.02933668485595235,0.0
S00464,0000015_3_25_29,3.072301017544961e-05,0.0
S00465,0000027_25_23_26,0.12283378122000432,0.0
S00467,0000027_23_30_21,0.025282506478428845,0.0047907539412867
S00469,0000027_20_31_20,0.7613979196742863,0.0024476488781198
S00470,0000015_10_45_28,0.006616095220503143,0.0
S00472,0000027_25_48_20,0.02322265785806849,0.0
S00473,0000015_8_36_25,0.0005290909220432117,0.0
S00475,0000022_15_20_25,0.45808443275863175,0.0
S00476,0000022_14_27_22,0.44655311567081724,0.0048258518065386
S00478,0000027_22_27_26,0.007739715572992665,0.0
S00482,0000022_14_24_28,0.06643738676859338,0.0
S00483,0000022_14_31_14,0.1058354782283323,0.0
S00484,0000027_16_16_24,0.06003551197158623,0.0
S00485,0000027_14_42_22,0.0008115854251015146,0.0
S00486,0000022_10_25_26,0.0360385219719077,0.0023937848290876
S00487,0000022_14_21_26,0.2959330581813046,0.0047925556278778
S00488,0000022_10_60_26,0.08790534895727697,0.0024354507544016
S00491,0000022_9_32_22,0.2992115669090966,0.0
S00493,0000027_5_40_26,0.006361990483763833,0.0
S00495,0000023_17_44_12,0.22096057403747402,0.0
S00497,0000023_19_37_22,0.4980112161037351,0.0043514615044499
S00498,0000023_22_24_29,0.018356478027756803,0.0
S00499,0000023_21_33_19,0.18133615113855808,0.0
S00500,0000023_22_30_16,0.2111854248967301,0.0021848266645565
S00501,0000004_10_20_27,0.10161699914197628,0.0021832142888519
S00502,0000004_22_41_17,0.067640123893755,0.0022247289590775
S00503,0000004_10_42_31,0.024577690556480316,0.0
S00505,0000004_10_32_15,0.7115827702470653,0.0
S00510,0000004_16_41_13,0.08049342572121208,0.0022227290819726
S00512,0000006_17_25_17,0.34667553419870223,0.0043474647807241
S00513,0000004_4_51_24,0.33214205437098676,0.0
S00514,0000004_4_40_21,0.04178249439841685,0.0
S00515,0000004_4_49_17,0.6315926126494763,0.0065527516282994
S00516,0000004_4_53_20,0.4934819438571316,0.0
S00518,0000006_10_44_19,0.2434649278671042,0.0
S00519,0000011_10_14_24,0.20114810685534873,0.0
S00520,0000011_10_58_16,0.01664773739851751,0.0
S00521,0000013_8_18_22,0.23941882855833693,0.004380398378283
S00522,0000011_14_47_26,0.4215295020732164,0.0
S00523,0000011_10_22_23,0.101041823909108,0.0
S00524,0000011_10_60_20,0.18901666605399958,0.0073659093266936
S00525,0000011_10_37_30,0.30924216785015773,0.0022026334100044
S00527,0000013_16_34_27,0.08289112065203774,0.0022325840475805
S00529,0000013_8_38_24,0.7498248758915934,0.0022204351516776
S00531,0000013_16_26_14,0.0030388124674863206,0.0
S00537,0000013_14_27_15,0.34986280075299453,0.0
S00538,0000013_16_47_30,0.7187837646629476,0.0
S00539,0000013_13_57_17,0.9182145137194808,0.0
S00540,0000013_10_26_15,0.05940158927414666,0.0043980160257686
S00543,0000013_7_21_26,0.8840650279498962,0.0024125042473666
S00545,0000013_12_21_23,0.0202271217532582,0.0
S00547,0000013_14_37_24,0.903833433198331,0.0024299851365094
S00548,0000013_5_53_24,0.5164677848193402,0.0022212091958954
S00550,0000013_12_21_28,0.11003359013424167,0.0048952977562397
S00551,0000013_4_48_26,0.16552527794097804,0.0
S00552,0000013_6_58_18,0.32714325572808206,0.0021787351938066
S00553,0000013_14_21_25,0.20166368255609812,0.0
S00554,0000013_4_44_13,0.44993754779005757,0.0
S00555,0000013_4_51_19,0.11416139872362942,0.0
S00557,0000013_6_33_13,0.554693351326581,0.0086994954467681
S00558,0000013_1_37_27,0.07771194371893626,0.0
S00559,0000013_5_39_17,0.3409444835158596,0.0
S00560,0000013_6_62_18,0.8589809883281465,0.0
S00561,0000013_1_29_27,0.3981469378007967,0.0
S00562,0000013_1_37_18,0.5984594406948871,0.0109444848164541
S00564,0000013_2_23_29,0.5372310335804426,0.0
S00565,0000013_2_29_28,0.672976645490171,0.0
S00566,0000013_2_52_16,0.3014425067090604,0.0
S00567,0000013_2_54_22,0.06843687453913558,0.0
S00568,0000013_2_46_15,0.9216945567813328,0.0
S00570,0000014_9_41_17,0.0002398131237392515,0.0022028091356744
S00571,0000014_14_60_23,0.019548644147643384,0.0
S00574,0000013_24_42_31,0.010662280618584452,0.0
