die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
27,20,611,0.00064642,0.00091222,0.00024616,151,24.71,646.4,912.2,12.093
27,21,595,0.0007064,0.00091299,0.00020072,126,21.18,706.4,913.0,12.01
27,22,723,0.00064089,0.0009216,0.00023989,136,18.81,640.9,921.6,12.01
27,23,538,0.00063126,0.0009165,0.00022412,59,10.97,631.3,916.5,12.093
27,24,614,0.00059275,0.00090704,0.00025192,73,11.89,592.8,907.0,12.258
27,25,601,0.00068402,0.00090298,0.00022191,123,20.47,684.0,903.0,12.5
27,26,603,0.00063363,0.0009,0.0002425,71,11.77,633.6,900.0,12.816
27,27,694,0.0006278,0.00091865,0.00021129,61,8.79,627.8,918.6,13.2
27,28,648,0.00061962,0.00089658,0.00022195,51,7.87,619.6,896.6,13.647
27,29,487,0.00066135,0.00088946,0.00020807,37,7.6,661.4,889.5,14.151
27,30,621,0.00060053,0.00091044,0.00021945,49,7.89,600.5,910.4,14.705
27,31,393,0.00060984,0.00090222,0.00019316,45,11.45,609.8,902.2,15.305
28,12,494,0.0006368,0.00089223,0.00016596,27,5.47,636.8,892.2,14.534
28,13,556,0.00062494,0.00089687,0.00021945,46,8.27,624.9,896.9,13.901
28,14,694,0.00064631,0.0008976,0.00023151,91,13.11,646.3,897.6,13.314
28,15,484,0.00059801,0.00090616,0.00025091,82,16.94,598.0,906.2,12.777
28,16,664,0.00067774,0.0009106,0.00019407,51,7.68,677.7,910.6,12.298
28,17,702,0.00061411,0.00089735,0.00024265,114,16.24,614.1,897.4,11.885
28,18,667,0.00065982,0.0009145,0.00022707,135,20.24,659.8,914.5,11.543
28,19,604,0.00062822,0.00094156,0.00023881,88,14.57,628.2,941.6,11.281
28,20,609,0.00062687,0.00090986,0.00024311,130,21.35,626.9,909.9,11.102
28,21,667,0.00063223,0.00090745,0.00024845,114,17.09,632.2,907.4,11.011
28,22,595,0.00062462,0.00090414,0.00024769,138,23.19,624.6,904.1,11.011
