ufs_serial,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726,health,is_defect
S07224,8.780567,0.8701435999999999,3.8790102,5.4439215,3.3025252,31.5625,22.2004492,15.8925108,287.6,1785.75,86.2432705,1150.0,2027.0,1015.0,899.0,0.0,0
S07226,12.2643654,-1.2427948,8.244867900000001,9.0214153,4.289724,31.915,23.505943,16.869089000000002,286.1,1763.25,77.33528890000001,1878.25,2024.0,993.25,968.75,0.0,0
S07227,11.3305842,-0.2805005,2.4903874,5.9241818,2.4884934,35.1225,25.9654009,18.3208494,284.65,1836.75,86.92518009999998,1813.0,2042.75,980.5,1005.25,0.0,0
S07228,17.2455367,-6.0061413,7.694356799999999,10.610007,4.1644354,31.31,19.2661085,22.9528941,285.65,1785.75,65.9839915,1545.0,2081.25,965.0,982.0,0.0,0
S07229,19.9872269,1.4128788,17.894214399999996,9.5358382,5.088961599999999,38.9125,30.6407402,16.8307948,282.9,1700.25,70.14745549999999,1899.75,2164.25,1003.5,1005.75,0.0,0
S07230,8.0602825,0.3373485,1.9257714,6.1860521,3.3384921000000003,37.4925,22.3373455,15.445965300000005,283.5,1716.5,86.69752790000001,1315.5,2242.0,1018.25,998.25,0.0,0
S07231,10.1811632,1.8841337,0.7047901,9.0881407,3.8770726,42.2325,24.5266567,19.0589149,286.3,1772.0,85.137867,1888.5,2143.75,1062.5,1085.0,0.0,0
S07232,10.6167696,-0.8145682999999999,4.6735253,6.8984822,2.2913352,,24.4031475,18.554863,283.585,1775.5,81.01426579999998,,2089.75,1072.0,998.75,0.008874683047034,1
S07233,9.634444300000002,0.1576286999999999,3.7272829,6.197296700000001,2.6468652,,24.1691918,15.9330007,286.96500000000003,1775.0,86.20831240000001,,1861.5,980.5,868.75,0.0,0
S07235,9.6405065,-0.9011383,4.2825125,6.458294,5.1261155,29.145,25.7992844,17.5033224,289.4,1720.75,83.8341928,1184.75,2059.75,1063.75,1075.25,0.0,0
S07236,11.5991088,0.2297071,3.9785102,7.8805619999999985,3.4065317000000004,24.2625,20.7025413,17.465228500000002,286.05,1772.75,86.71512750000001,1500.0,2046.0,966.75,989.25,0.0044269859084673,1
S07239,8.1592544,-0.0477601,3.2159325,3.4071329,2.3048489,26.2025,16.4291394,12.4060088,286.65,1768.5,88.677493,1815.75,1983.75,961.25,1032.0,0.0072984768651499,1
S07241,8.340535599999999,0.5926015,1.1811196000000002,3.8857185,3.4305549,30.85,22.1949268,12.309645800000002,286.05,1764.75,87.39647389999998,1775.5,2119.75,1022.75,1108.5,0.0071416665229711,1
S07242,10.2498584,0.7752315,1.9769735,8.058025099999998,2.7969745,,26.8851064,17.0537426,283.36,1757.5,85.71684119999998,,2096.75,1028.0,1051.0,0.0044672952639479,1
S07243,13.0037004,0.2206818,4.665966399999999,11.2881627,2.8184167,,23.6498505,19.186759,286.63,1744.25,82.11943640000001,,2057.5,971.0,1005.0,0.0,0
S07246,8.340535599999999,0.5926015,1.1811196000000002,3.8857185,3.4305549,28.6575,22.1949268,12.309645800000002,286.35,1769.5,87.39647389999998,1856.25,2040.25,1012.0,1061.5,0.0044197421076033,1
S07248,12.5943953,4.759543,3.0596901,11.1534373,2.5639688,23.1075,19.845560100000004,17.990115199999995,286.8,1767.25,80.42542009999998,1600.0,2169.75,995.25,1028.75,0.0057751245515418,1
S07249,8.340535599999999,0.5926015,1.1811196000000002,3.8857185,3.4305549,28.3225,22.1949268,12.309645800000002,290.35,1769.75,87.39647389999998,1329.75,1945.5,1066.75,1059.5,0.0042667902919789,1
S07251,10.1653817,1.4793219,3.384161,5.790613,1.9142815,,22.9838632,15.8795816,292.165,1772.5,87.0097486,,1977.25,1050.0,1080.75,0.0,0
S07252,10.2498584,0.7752315,1.9769735,8.058025099999998,2.7969745,,26.8851064,17.0537426,286.0975,1724.5,85.71684119999998,,2046.5,1059.5,1033.5,0.0,0
S07254,12.5943953,4.759543,3.0596901,11.1534373,2.5639688,22.6475,19.845560100000004,17.990115199999995,286.95000000000005,1771.0,80.42542009999998,1433.0,2070.75,999.5,1043.5,0.0,0
S07255,10.1653817,1.4793219,3.384161,5.790613,1.9142815,,22.9838632,15.8795816,290.77250000000004,1764.5,87.0097486,,2092.5,1056.5,1132.0,0.0087896151669496,1
S07256,10.1653817,1.4793219,3.384161,5.790613,1.9142815,,22.9838632,15.8795816,284.1275,1767.25,87.0097486,,2273.5,1076.25,1089.5,0.0117493048229477,1
S07258,13.5373335,-0.7295693999999999,4.8504748,5.8000742,3.9184315,29.52,25.4531054,16.127999199999998,287.2,1774.0,83.2173766,1481.0,2157.75,1004.75,1048.25,0.0,0
S07259,10.1653817,1.4793219,3.384161,5.790613,1.9142815,,22.9838632,15.8795816,287.6975,1757.5,87.0097486,,2198.25,1020.0,1108.5,0.0028996922358844,1
S07260,8.2092871,-0.2011414,1.0894481000000005,3.3725518,3.2015155,27.8325,22.7062767,14.186895000000002,290.0,1732.0,88.6604551,1361.5,2070.75,960.0,994.5,0.0100161225312374,1
S07261,13.0037004,0.2206818,4.665966399999999,11.2881627,2.8184167,,23.6498505,19.186759,285.40999999999997,1749.5,82.11943640000001,,2232.5,1003.5,1005.75,0.0174344672752944,1
S07266,13.0286976,1.3172403,4.938234099999999,2.7961644,3.9190888,27.7775,28.0489386,15.6643249,289.15,1757.5,86.7264434,1604.0,2031.25,965.25,999.25,0.0146465092977337,1
S07267,10.1653817,1.4793219,3.384161,5.790613,1.9142815,,22.9838632,15.8795816,292.9175,1752.75,87.0097486,,2189.25,1041.0,1121.25,0.0,0
S07268,12.5943953,4.759543,3.0596901,11.1534373,2.5639688,26.9325,19.845560100000004,17.990115199999995,282.25,1757.75,80.42542009999998,1813.0,2192.0,1024.5,1033.75,0.0028451863682942,1
S07271,13.0286976,1.3172403,4.938234099999999,2.7961644,3.9190888,33.9925,28.0489386,15.6643249,281.59999999999997,1766.25,86.7264434,1463.0,2221.5,1023.75,995.0,0.0,0
S07273,18.7808009,-0.8415248,6.8671753,18.1640635,3.5973253,30.175,23.4972658,24.408327,288.20000000000005,1716.0,71.36843459999999,1566.0,2128.25,983.0,984.5,0.0056861735598649,1
S07276,8.780567,0.8701435999999999,3.8790102,5.4439215,3.3025252,28.7825,22.2004492,15.8925108,287.25,1799.25,86.2432705,1444.0,1965.75,955.25,922.75,0.0071443151663604,1
S07278,8.780567,0.8701435999999999,3.8790102,5.4439215,3.3025252,28.495,22.2004492,15.8925108,286.9,1783.0,86.2432705,1231.75,1934.75,958.75,887.0,0.0119004860761918,1
S07281,8.780567,0.8701435999999999,3.8790102,5.4439215,3.3025252,31.7075,22.2004492,15.8925108,286.2,1785.0,86.2432705,1896.5,2004.0,974.75,904.5,0.0102352730043571,1
S07284,17.2455367,-6.0061413,7.694356799999999,10.610007,4.1644354,30.7775,19.2661085,22.9528941,287.1,1807.0,65.9839915,1591.75,2006.5,984.25,993.0,0.0014720168704388,1
S07285,15.5685886,-2.3681287,5.543321499999999,11.580638699999998,4.8215781,27.885,27.4075708,19.4730891,291.65,1750.0,76.9921895,1446.5,2109.0,1020.0,996.75,0.0156938057263588,1
S07286,15.5685886,-2.3681287,5.543321499999999,11.580638699999998,4.8215781,29.927500000000002,27.4075708,19.4730891,287.55,1774.5,76.9921895,1831.0,1954.0,976.25,962.75,0.0101130781081945,1
S07287,13.6040397,-0.045,3.3472661,14.0033905,2.4646921,30.25,23.2372721,23.194810500000003,288.75,1791.75,80.90457559999999,1455.0,2038.75,988.75,991.0,0.0043320984964044,1
S07288,17.2455367,-6.0061413,7.694356799999999,10.610007,4.1644354,32.0775,19.2661085,22.9528941,286.6,1809.25,65.9839915,1404.0,2102.25,999.75,981.25,0.0102870254558787,1
S07289,17.2455367,-6.0061413,7.694356799999999,10.610007,4.1644354,33.9725,19.2661085,22.9528941,286.65,1786.75,65.9839915,1387.0,2079.25,1051.75,988.5,0.0159093223914909,1
