ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00171,0000007_10_37_22,1,0.6495174821706508,0.35048251782934925,0.0015506228205254254,0.0005434661903413982,0.0005434661903413982,0.002232734493277
S00174,0000007_20_40_22,1,0.4237232309968058,0.5762767690031942,0.0016945986297314806,0.0009765578230988979,0.0009765578230988979,0.0
S00175,0000007_21_46_13,1,0.5106156035901831,0.4893843964098169,0.001650919037628507,0.0008079340167513027,0.0008079340167513027,0.0
S00177,0000021_19_40_29,1,0.4313263688943212,0.5686736311056788,0.0017784052516680478,0.0010113321720434773,0.0010113321720434773,0.0043713251623854
S00178,0000021_19_46_28,1,0.4927253989932408,0.5072746010067593,0.00172448028888227,0.0008747850504867744,0.0008747850504867744,0.0
S00180,0000021_22_54_28,1,0.7041580473968699,0.29584195260313007,0.0016439800862660576,0.0004863582787616127,0.0004863582787616127,0.0
S00181,0000021_22_33_20,1,0.6252034912535448,0.3747965087464552,0.0017881635151964894,0.0006701974425634331,0.0006701974425634331,0.0
S00183,0000021_22_55_14,1,0.7854079673059756,0.21459203269402438,0.0017651639478224325,0.00037879011960142457,0.00037879011960142457,0.0
S00185,0000021_24_54_16,1,0.5079421858798948,0.4920578141201052,0.001839716745663474,0.0009052470004713225,0.0009052470004713225,0.0
S00186,0000021_25_55_25,1,0.6042471997895362,0.3957528002104638,0.0015972372612113484,0.0006321111187248831,0.0006321111187248831,0.0
S00187,0000021_11_35_14,1,0.5888409082128111,0.4111590917871889,0.001775454311624061,0.0007299941822769976,0.0007299941822769976,0.0023849627379564
S00188,0000021_24_34_12,1,0.6017529739204122,0.39824702607958784,0.0020536403849056614,0.0008178561759256197,0.0008178561759256197,0.0
S00189,0000021_11_40_25,1,0.6880723771577988,0.3119276228422012,0.0016644505981737424,0.0005191881184266153,0.0005191881184266153,0.0
S00191,0000021_9_31_21,1,0.6916237285644562,0.3083762714355438,0.0017444367163701286,0.0005379428903494835,0.0005379428903494835,0.0
